City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Sergeyevka,KZ,53.88,67.4158,62.29,94,7,8.39,clear sky
330,Campechuela,CU,20.2342,-77.2789,86.63,62,100,6.93,overcast clouds
331,Gornopravdinsk,RU,60.05,69.9,61.25,78,98,4.36,overcast clouds
332,Oussouye,SN,12.485,-16.5469,77.65,88,100,5.41,light rain
333,Asau,RO,46.4333,26.4,72.52,58,12,5.55,few clouds
334,Ballangen,NO,68.3428,16.8315,61.02,82,75,6.91,broken clouds
335,Lockhart,US,28.6194,-81.4426,97.99,61,59,4.0,broken clouds
336,Tocopilla,CL,-22.092,-70.1979,63.73,74,100,5.3,overcast clouds
337,Haines Junction,CA,60.7522,-137.5108,55.22,55,100,7.25,overcast clouds
338,Denpasar,ID,-8.65,115.2167,76.71,88,40,6.91,scattered clouds
339,La Ronge,CA,55.1001,-105.2842,64.18,53,100,13.91,overcast clouds
340,Valdivia,CL,-39.8142,-73.2459,47.21,97,100,4.52,overcast clouds
341,Nanchang,CN,28.6833,115.8833,83.16,77,100,6.55,moderate rain
342,Waipawa,NZ,-41.4122,175.5153,42.87,91,100,16.84,overcast clouds
343,Doha,QA,25.2867,51.5333,94.98,59,53,3.44,broken clouds
344,Kajansi,UG,0.2081,32.5222,70.48,72,15,3.13,few clouds
345,Flin Flon,CA,54.7682,-101.865,66.04,68,75,8.05,thunderstorm
346,Margate,GB,51.3813,1.3862,72.88,69,31,3.0,scattered clouds
